,County,State,Rank,Population,latitude,longitude
1611,Fergus County,MT,2331,"11,435",47.22636678,-109.3838174
1612,Flathead County,MT,630,"91,633",48.30381081,-114.219135
1613,Gallatin County,MT,624,"92,614",45.44331675,-111.3111971
1614,Garfield County,MT,3098,"1,261",47.369887,-106.98569
1615,Glacier County,MT,2198,"13,711",48.6614856,-113.0735736
1616,Golden Valley County,MT,3116,839,46.3811925,-109.130368
1617,Granite County,MT,2968,"3,109",46.475526,-113.296628
1618,Hill County,MT,2020,"16,366",48.5141732,-110.165452
1619,Jefferson County,MT,2335,"11,401",46.1825015,-112.0354922
1620,Judith Basin County,MT,3049,"2,024",47.1005466,-110.1540506
1621,Lake County,MT,1450,"28,986",47.62692917,-114.1927916
1622,Lewis and Clark County,MT,812,"64,876",46.884379,-112.2508433
1623,Liberty County,MT,3015,"2,392",48.52858033,-111.0032957
1624,Lincoln County,MT,1857,"19,491",48.62702083,-115.3145108
1625,McCone County,MT,3075,"1,701",45.3561944,-111.9246202
1626,Madison County,MT,2625,"7,733",47.536087,-105.7335353
1627,Meagher County,MT,3064,"1,924",46.629465,-110.953882
1628,Mineral County,MT,2891,"4,167",47.2714805,-115.1222008
1629,Missoula County,MT,542,"110,977",47.0048184,-113.8817844
1630,Musselshell County,MT,2860,"4,665",46.518289,-108.1287517
1631,Park County,MT,2074,"15,567",45.38453789,-110.4751431
1632,Petroleum County,MT,3137,511,47.087847,-108.2019515
1633,Phillips County,MT,2892,"4,128",48.30035675,-107.8519203
1634,Pondera County,MT,2746,"6,165",48.212557,-112.1902962
1635,Powder River County,MT,3072,"1,763",45.324134,-105.443637
1636,Powell County,MT,2675,"7,096",46.65042571,-112.7762419
1637,Prairie County,MT,3103,"1,157",46.8251265,-105.3289695
1638,Ravalli County,MT,1163,"40,617",46.2255752,-114.0907852
1639,Richland County,MT,2374,"10,810",47.685009,-104.2844212
1640,Roosevelt County,MT,2365,"10,927",48.21746443,-104.7498834
1641,Rosebud County,MT,2481,"9,396",45.9204914,-106.578243
1642,Sanders County,MT,2334,"11,408",47.70228389,-115.1327846
1643,Sheridan County,MT,2939,"3,580",48.70141678,-104.5235512
1644,Silver Bow County,MT,1315,"34,403",46.0133695,-112.6788395
1645,Stillwater County,MT,2503,"9,195",45.66925375,-109.342652
1646,Sweet Grass County,MT,2934,"3,605",45.78778067,-109.9202527
1647,Teton County,MT,2756,"6,053",47.85041683,-112.1229283
1648,Toole County,MT,2825,"5,220",48.77516543,-111.6841356
1649,Treasure County,MT,3125,736,46.2335245,-107.283849
1650,Valley County,MT,2642,"7,505",48.4289334,-106.4031093
1651,Wheatland County,MT,3042,"2,104",46.452551,-109.916514
1652,Wibaux County,MT,3107,"1,057",46.824454,-104.122311
1653,Yellowstone County,MT,414,"151,882",45.9582015,-108.2452129
1890,Alamance County,NC,410,"153,920",36.0459989,-79.3936057
1891,Alexander County,NC,1252,"36,853",35.91299167,-81.17387933
1892,Alleghany County,NC,2365,"10,927",36.482587,-81.0840176
1893,Anson County,NC,1547,"26,351",34.95471929,-80.10021671
1894,Ashe County,NC,1527,"27,097",36.42354267,-81.47318392
1895,Avery County,NC,1939,"17,635",36.077535,-81.92033856
1896,Beaufort County,NC,1020,"47,507",35.47584922,-76.83934278
1897,Bertie County,NC,1801,"20,653",36.1421375,-77.04035638
1898,Bladen County,NC,1302,"34,915",34.6163775,-78.620608
1899,Brunswick County,NC,534,"112,257",34.01484523,-78.26366654
1900,Buncombe County,NC,268,"244,490",35.59279929,-82.51153814
1901,Burke County,NC,634,"90,505",35.7562615,-81.6407032
1902,Cabarrus County,NC,342,"184,498",35.3711346,-80.571823
1903,Caldwell County,NC,676,"81,930",35.89687683,-81.53228217
1904,Camden County,NC,2436,"10,090",36.36169433,-76.167416
1905,Carteret County,NC,783,"67,632",34.75984133,-76.7441455
1906,Caswell County,NC,1680,"23,217",36.424946,-79.30429714
1907,Catawba County,NC,408,"154,339",35.66469213,-81.12366338
1908,Chatham County,NC,799,"65,976",35.64810867,-79.30974956
1909,Cherokee County,NC,1530,"26,992",35.152534,-83.9267488
1910,Chowan County,NC,2124,"14,772",36.1924495,-76.605441
1911,Clay County,NC,2387,"10,618",35.03746133,-83.85379633
1912,Cleveland County,NC,600,"97,474",35.32551333,-81.57571625
1913,Columbus County,NC,885,"57,638",34.27867693,-78.65730864
1914,Craven County,NC,562,"104,770",35.14811063,-77.12743038
1915,Cumberland County,NC,200,"324,049",35.129512,-78.83328282
1916,Currituck County,NC,1640,"24,077",36.31367053,-75.93848827
1917,Dare County,NC,1310,"34,573",35.71409362,-75.64685531
1918,Davidson County,NC,383,"163,260",35.74180933,-80.21945767
1919,Davie County,NC,1142,"41,433",35.89026567,-80.51434533
1920,Duplin County,NC,864,"60,033",34.94883373,-77.95260564
1921,Durham County,NC,238,"279,641",36.10073167,-78.87973067
1922,Edgecombe County,NC,904,"55,954",35.880265,-77.61040043
1923,Forsyth County,NC,186,"358,137",36.1658853,-80.2848916
1924,Franklin County,NC,845,"61,475",36.03362825,-78.3311465
1925,Gaston County,NC,303,"208,049",35.31532875,-81.146552
1926,Gates County,NC,2306,"11,869",36.43955486,-76.69549843
1927,Graham County,NC,2548,"8,700",35.3834465,-83.7766955
1928,Granville County,NC,857,"60,436",36.27990233,-78.65739233
1929,Greene County,NC,1759,"21,429",35.489881,-77.6641635
1930,Guilford County,NC,132,"500,879",36.0765574,-79.78899793
1931,Halifax County,NC,925,"54,006",36.27242667,-77.63076778
1932,Harnett County,NC,502,"122,135",35.3857971,-78.8254657
1933,Haywood County,NC,877,"58,908",35.545447,-82.99169683
1934,Henderson County,NC,547,"108,266",35.32095877,-82.47850431
1935,Hertford County,NC,1628,"24,438",36.38891167,-76.95341483
1936,Hoke County,NC,970,"50,536",34.9885305,-79.2400095
1937,Hyde County,NC,2776,"5,859",35.4257232,-76.232385
1938,Iredell County,NC,385,"162,708",35.80083467,-80.88893
1939,Jackson County,NC,1167,"40,448",35.29534789,-83.157164
1940,Johnston County,NC,358,"174,938",35.53697991,-78.29331536
1941,Jones County,NC,2420,"10,275",35.001648,-77.368689
1942,Lee County,NC,867,"59,715",35.46977167,-79.13175833
1943,Lenoir County,NC,873,"59,227",35.156941,-77.6572585
1944,Lincoln County,NC,692,"79,313",35.480257,-81.220102
1945,McDowell County,NC,1068,"44,998",35.09055125,-83.388689
1946,Macon County,NC,1329,"33,869",35.84913567,-82.65979
1947,Madison County,NC,1793,"20,742",35.8733425,-77.18698363
1948,Martin County,NC,1645,"23,961",35.67705675,-82.03727425
1949,Mecklenburg County,NC,45,"969,031",35.269924,-80.82448571
1950,Mitchell County,NC,2084,"15,368",35.958273,-82.130975
1951,Montgomery County,NC,1505,"27,668",35.36042617,-79.86384267
1952,Moore County,NC,635,"90,302",35.26710385,-79.44896523
1953,Nash County,NC,608,"95,708",35.9762845,-77.95883513
1954,New Hanover County,NC,299,"209,234",34.1459784,-77.9035146
1955,Northampton County,NC,1760,"21,428",36.42449591,-77.47175945
1956,Onslow County,NC,344,"183,263",34.69229489,-77.39964456
1957,Orange County,NC,453,"137,941",36.0477068,-79.1187052
1958,Pamlico County,NC,2236,"13,074",35.14808344,-76.68689633
1959,Pasquotank County,NC,1165,"40,591",36.285388,-76.213284
1960,Pender County,NC,922,"54,195",34.53946613,-77.92631663
1961,Perquimans County,NC,2211,"13,563",36.210978,-76.439526
1962,Person County,NC,1192,"39,268",36.37784075,-78.999576
1963,Pitt County,NC,361,"172,554",35.5942115,-77.39211717
1964,Polk County,NC,1827,"20,271",35.2741304,-82.197278
1965,Randolph County,NC,442,"142,466",35.7654716,-79.7637561
1966,Richmond County,NC,1037,"46,627",35.02174971,-79.68405
1967,Robeson County,NC,461,"135,496",34.67055607,-79.10892187
1968,Rockingham County,NC,623,"92,720",36.4282295,-79.804489
1969,Rowan County,NC,451,"138,180",35.63756367,-80.51536767
1970,Rutherford County,NC,786,"67,323",35.35327033,-81.918694
1971,Sampson County,NC,821,"63,949",34.9248293,-78.3666246
1972,Scotland County,NC,1274,"36,094",34.81756025,-79.507066
1973,Stanly County,NC,853,"60,576",35.35277722,-80.28308744
1974,Stokes County,NC,1031,"46,783",36.38781875,-80.21114438
1975,Surry County,NC,740,"73,561",36.41146218,-80.66621345
1976,Swain County,NC,2166,"14,141",35.43013867,-83.44567033
1977,Transylvania County,NC,1360,"32,849",35.17975188,-82.79206225
1978,Tyrrell County,NC,2881,"4,338",35.936934,-76.203339
1979,Union County,NC,302,"208,520",34.99887633,-80.5476195
1980,Vance County,NC,1065,"45,132",36.401486,-78.382252
1981,Wake County,NC,48,"952,151",35.76893721,-78.62741264
1982,Warren County,NC,1807,"20,576",36.4173525,-78.121006
1983,Washington County,NC,2258,"12,736",35.82788167,-76.577093
1984,Watauga County,NC,958,"51,871",36.23545543,-81.73028257
1985,Wayne County,NC,492,"124,246",35.33983433,-78.0096125
1986,Wilkes County,NC,767,"69,306",36.22880962,-81.127591
1987,Wilson County,NC,677,"81,867",35.69225514,-77.92016129
1988,Yadkin County,NC,1218,"38,084",36.175676,-80.7102358
1989,Yancey County,NC,1940,"17,630",35.85550633,-82.261226
1990,Adams County,ND,3027,"2,311",46.0858385,-102.6409295
1991,Barnes County,ND,2356,"11,015",46.88595725,-98.09558417
1992,Benson County,ND,2702,"6,760",48.10476736,-99.32011045
1993,Billings County,ND,3113,905,46.9503125,-103.4297765
1994,Bottineau County,ND,2717,"6,579",48.764928,-100.8834027
1995,Bowman County,ND,2960,"3,202",46.159146,-103.5210955
1996,Burke County,ND,3040,"2,171",48.83299483,-102.5287273
1997,Burleigh County,ND,659,"85,774",46.93869378,-100.4064518
1998,Cass County,ND,403,"156,157",46.93146061,-97.18565443
1999,Cavalier County,ND,2912,"3,948",48.7049225,-98.40776675
2000,Dickey County,ND,2822,"5,268",46.100882,-98.51871225
2001,Divide County,ND,3034,"2,228",48.89000867,-103.2783533
2002,Dunn County,ND,2910,"3,967",47.3845748,-102.5058284
2003,Eddy County,ND,3019,"2,368",47.739316,-98.9043315
2004,Emmons County,ND,2941,"3,491",46.313123,-100.1614668
2005,Foster County,ND,2947,"3,392",47.469765,-98.72873975
2006,Golden Valley County,ND,3070,"1,804",46.82786167,-103.9085533
2007,Grand Forks County,ND,784,"67,472",47.94927108,-97.47077377
2008,Grant County,ND,3022,"2,333",46.3125558,-101.5964418
2009,Griggs County,ND,3020,"2,362",47.4181108,-98.3380082
2010,Hettinger County,ND,3005,"2,553",46.415907,-102.495034
2011,Kidder County,ND,3012,"2,426",46.95911733,-99.7349335
2012,LaMoure County,ND,2893,"4,114",46.44056163,-98.50329363
2013,Logan County,ND,3064,"1,924",46.45248333,-99.33440667
2014,McHenry County,ND,2780,"5,789",48.17561777,-100.6453878
2015,McIntosh County,ND,2993,"2,751",46.096187,-99.5424178
2016,McKenzie County,ND,2600,"7,987",47.782696,-103.3346567
2017,McLean County,ND,2493,"9,309",47.57037338,-101.1367422
2018,Mercer County,ND,2565,"8,486",47.323376,-101.7988908
2019,Morton County,ND,1490,"28,101",46.73552729,-101.4193943
2020,Mountrail County,ND,2541,"8,734",48.16936457,-102.3713034
2021,Nelson County,ND,2971,"3,080",47.92896675,-98.17436225
2022,Oliver County,ND,3069,"1,838",47.145874,-101.159363
2023,Pembina County,ND,2655,"7,271",48.76275342,-97.55776842
2024,Pierce County,ND,2871,"4,457",48.228375,-99.94802375
2025,Ramsey County,ND,2325,"11,536",48.3123126,-98.7040032
2026,Ransom County,ND,2810,"5,444",46.465401,-97.616714
2027,Renville County,ND,3004,"2,559",48.74920775,-101.6947775
2028,Richland County,ND,2029,"16,217",46.298528,-96.90936315
2029,Rolette County,ND,2144,"14,382",48.79782643,-99.83340871
2030,Sargent County,ND,2916,"3,896",46.0972025,-97.60334638
2031,Sheridan County,ND,3097,"1,266",47.5584785,-100.2619418
2032,Sioux County,ND,2879,"4,347",46.2710685,-100.858852
2033,Slope County,ND,3124,758,46.454966,-103.485325
2034,Stark County,ND,1537,"26,771",46.80617271,-102.758221
2035,Steele County,ND,3055,"1,989",47.430482,-97.75646533
2036,Stutsman County,ND,1781,"20,934",46.97236675,-98.90046125
2037,Towner County,ND,3026,"2,318",48.70672183,-99.2860145
2038,Traill County,ND,2597,"8,072",47.48842414,-97.25263814
2039,Walsh County,ND,2354,"11,046",48.34910658,-97.722195
2040,Ward County,ND,815,"64,798",48.22348346,-101.5680552
2041,Wells County,ND,2884,"4,271",47.55827022,-99.65238578
2042,Williams County,ND,1539,"26,697",48.4052504,-103.4310309
1654,Adams County,NE,1402,"31,459",40.52077733,-98.52525
1655,Antelope County,NE,2719,"6,545",42.1782715,-98.13057325
1656,Arthur County,NE,3139,486,41.554073,-101.714495
1657,Banner County,NE,3123,760,41.546441,-103.710045
1658,Blaine County,NE,3136,514,41.9243395,-99.917123
1659,Boone County,NE,2812,"5,417",41.665761,-98.0335168
1660,Box Butte County,NE,2337,"11,317",42.2671905,-103.0852925
1661,Boyd County,NE,3046,"2,054",42.88803233,-98.77665033
1662,Brown County,NE,2979,"3,023",42.51413967,-99.82855133
1663,Buffalo County,NE,1021,"47,463",40.8463868,-99.1223514
1664,Burt County,NE,2712,"6,659",41.8744278,-96.3469898
1665,Butler County,NE,2584,"8,295",41.2174859,-97.1085985
1666,Cass County,NE,1603,"25,133",40.91461347,-96.16677827
1667,Cedar County,NE,2539,"8,746",42.59071622,-97.24694989
1668,Chase County,NE,2901,"4,064",40.48555,-101.566595
1669,Cherry County,NE,2791,"5,727",42.7247335,-101.061457
1670,Cheyenne County,NE,2438,"10,068",41.2704434,-103.0105824
1671,Clay County,NE,2732,"6,411",40.5092025,-98.0619146
1672,Colfax County,NE,2384,"10,653",41.6251398,-97.0923428
1673,Cuming County,NE,2512,"9,072",41.93406025,-96.7897825
1674,Custer County,NE,2378,"10,740",41.4236144,-99.6724664
1675,Dakota County,NE,1783,"20,918",42.39081217,-96.56036733
1676,Dawes County,NE,2506,"9,152",42.674752,-103.249401
1677,Dawson County,NE,1634,"24,220",40.88594038,-99.85078625
1678,Deuel County,NE,3056,"1,972",41.1120415,-102.341378
1679,Dixon County,NE,2768,"5,918",42.47276763,-96.86988638
1680,Dodge County,NE,1263,"36,427",41.5844087,-96.5940122
1681,Douglas County,NE,122,"531,265",41.29784917,-96.23275817
1682,Dundy County,NE,3050,"2,021",40.1397525,-101.738428
1683,Fillmore County,NE,2783,"5,771",40.53037063,-97.5517305
1684,Franklin County,NE,2962,"3,188",40.20098829,-98.98361729
1685,Frontier County,NE,2995,"2,741",40.57761867,-100.3119333
1686,Furnas County,NE,2844,"4,907",40.22833325,-99.90421338
1687,Gage County,NE,1739,"21,806",40.28901282,-96.68922982
1688,Garden County,NE,3059,"1,953",41.367521,-102.3385047
1689,Garfield County,NE,3052,"2,007",41.782277,-99.134041
1690,Gosper County,NE,3048,"2,029",40.554809,-99.8311585
1691,Grant County,NE,3133,629,41.939149,-101.7493865
1692,Greeley County,NE,3009,"2,458",41.52918575,-98.507398
1693,Hall County,NE,859,"60,345",40.8629116,-98.4955318
1694,Hamilton County,NE,2521,"9,011",40.90331267,-98.05603617
1695,Harlan County,NE,2946,"3,410",40.125363,-99.36475425
1696,Hayes County,NE,3111,953,40.524819,-101.061328
1697,Hitchcock County,NE,2986,"2,887",40.206331,-101.0348843
1698,Holt County,NE,2405,"10,396",42.42430125,-98.7772545
1699,Hooker County,NE,3126,727,42.042143,-101.045192
1700,Howard County,NE,2738,"6,336",41.19050917,-98.57764033
1701,Jefferson County,NE,2640,"7,521",40.18825114,-97.10067914
1702,Johnson County,NE,2830,"5,140",40.4131322,-96.2424092
1703,Kearney County,NE,2726,"6,485",40.4835718,-98.9469776
1704,Keith County,NE,2591,"8,220",41.2167448,-101.6759708
1705,Keya Paha County,NE,3120,804,42.847296,-99.7366335
1706,Kimball County,NE,2923,"3,783",41.212536,-103.7919383
1707,Knox County,NE,2560,"8,573",42.6113575,-97.83973163
1708,Lancaster County,NE,224,"293,407",40.7331342,-96.67683727
1709,Lincoln County,NE,1273,"36,099",41.0266925,-100.7640483
1710,Logan County,NE,3122,765,41.480166,-100.512463
1711,Loup County,NE,3135,589,41.91406,-99.454335
1712,McPherson County,NE,3138,509,41.94656183,-97.67406767
1713,Madison County,NE,1300,"35,031",41.568548,-101.059489
1714,Merrick County,NE,2618,"7,780",41.18356367,-98.00839233
1715,Morrill County,NE,2845,"4,889",41.6871335,-103.071493
1716,Nance County,NE,2930,"3,715",41.44406767,-97.900212
1717,Nemaha County,NE,2666,"7,154",40.4112875,-95.8123755
1718,Nuckolls County,NE,2872,"4,438",40.16564733,-98.01931367
1719,Otoe County,NE,2060,"15,747",40.6445556,-96.1663781
1720,Pawnee County,NE,2991,"2,765",40.146342,-96.2130245
1721,Perkins County,NE,2984,"2,931",40.8483925,-101.6874375
1722,Phelps County,NE,2500,"9,215",40.4613602,-99.4250072
1723,Pierce County,NE,2661,"7,166",42.3283298,-97.608923
1724,Platte County,NE,1364,"32,681",41.57846314,-97.519497
1725,Polk County,NE,2816,"5,320",41.12875475,-97.616939
1726,Red Willow County,NE,2360,"10,975",40.21926375,-100.4420733
1727,Richardson County,NE,2585,"8,290",40.14603188,-95.70419475
1728,Rock County,NE,3091,"1,376",42.5141495,-99.503568
1729,Saline County,NE,2137,"14,557",40.48286138,-97.10677275
1730,Sarpy County,NE,378,"165,853",41.117932,-96.07781022
1731,Saunders County,NE,1788,"20,823",41.2225092,-96.6327184
1732,Scotts Bluff County,NE,1247,"36,964",41.85307778,-103.7589212
1733,Seward County,NE,1986,"16,935",40.8709182,-97.144103
1734,Sheridan County,NE,2817,"5,319",42.6699436,-102.462993
1735,Sherman County,NE,2969,"3,108",41.2041104,-98.9446754
1736,Sioux County,NE,3094,"1,315",42.631216,-103.782027
1737,Stanton County,NE,2752,"6,089",41.979159,-97.140653
1738,Thayer County,NE,2831,"5,134",40.16687882,-97.60587691
1739,Thomas County,NE,3131,676,41.9466065,-100.5565795
1740,Thurston County,NE,2682,"7,020",42.1402586,-96.5499308
1741,Valley County,NE,2889,"4,229",41.56446233,-98.98441833
1742,Washington County,NE,1828,"20,252",41.4955505,-96.19856333
1743,Wayne County,NE,2468,"9,554",42.2174135,-97.16888175
1744,Webster County,NE,2929,"3,725",40.218094,-98.4755106
1745,Wheeler County,NE,3119,805,41.8472965,-98.6041805
1746,York County,NE,2193,"13,746",40.89316771,-97.59476929
1764,Belknap County,NH,860,"60,327",43.50086207,-71.4243276
1765,Carroll County,NH,1019,"47,567",43.75118488,-71.17911765
1766,Cheshire County,NH,712,"76,851",42.91988232,-72.25598968
1767,Coos County,NH,1388,"32,096",44.54900633,-71.39964222
1768,Grafton County,NH,641,"89,181",43.89868313,-71.92076694
1769,Hillsborough County,NH,169,"402,922",42.90322493,-71.73717775
1770,Merrimack County,NH,431,"146,761",43.3280584,-71.71645864
1771,Rockingham County,NH,222,"297,820",42.97686826,-71.05927918
1772,Strafford County,NH,494,"124,119",43.29862136,-71.03228018
1773,Sullivan County,NH,1107,"43,074",43.37210063,-72.20329369
1774,Atlantic County,NJ,240,"275,422",39.47019493,-74.71539652
1775,Bergen County,NJ,56,"918,888",40.92797152,-74.05287306
1776,Burlington County,NJ,148,"451,336",39.98677706,-74.74567994
1777,Camden County,NJ,127,"513,539",39.83063413,-75.00567303
1778,Cape May County,NJ,606,"96,304",39.10984147,-74.78362024
1779,Cumberland County,NJ,400,"157,785",39.34978421,-75.10001374
1780,Essex County,NJ,75,"787,744",40.79185762,-74.24714138
1781,Gloucester County,NJ,226,"289,586",39.73955446,-75.1746035
1782,Hudson County,NJ,94,"652,302",40.75180956,-74.06795389
1783,Hunterdon County,NJ,486,"127,050",40.58149296,-74.88686338
1784,Mercer County,NJ,181,"368,303",40.29807413,-74.71520475
1785,Middlesex County,NJ,68,"823,041",40.47965726,-74.39047824
1786,Monmouth County,NJ,100,"629,384",40.29510002,-74.148974
1787,Morris County,NJ,134,"497,999",40.85236711,-74.52043447
1788,Ocean County,NJ,109,"580,470",39.89631119,-74.21259015
1789,Passaic County,NJ,131,"502,885",40.99217794,-74.26649906
1790,Salem County,NJ,804,"65,774",39.59676718,-75.34996191
1791,Somerset County,NJ,198,"327,707",40.56794804,-74.61433812
1792,Sussex County,NJ,427,"147,442",41.12014221,-74.68119254
1793,Union County,NJ,118,"543,976",40.66431114,-74.31598633
1794,Warren County,NJ,550,"107,653",40.83262147,-74.96581258
1795,Bernalillo County,NM,92,"673,460",35.10226167,-106.4752612
1796,Catron County,NM,2932,"3,658",33.7152848,-108.6638604
1797,Chaves County,NM,803,"65,784",33.17832075,-104.459793
1798,Cibola County,NM,1518,"27,334",35.137625,-107.917675
1799,Colfax County,NM,2229,"13,223",36.54065988,-104.8532711
1800,Curry County,NM,979,"49,938",34.57478743,-103.3234731
1801,De Baca County,NM,3063,"1,927",34.4594665,-104.2968395
1802,Do–a Ana County,NM,295,"214,445",32.26815835,-106.769862
1803,Eddy County,NM,919,"54,419",32.487695,-104.3548253
1804,Grant County,NM,1436,"29,388",32.74645527,-108.2274415
1805,Guadalupe County,NM,2864,"4,603",34.74512933,-104.8382047
1806,Harding County,NM,3129,707,35.871423,-104.048948
1807,Hidalgo County,NM,2851,"4,794",32.14133333,-108.7530403
1808,Lea County,NM,792,"66,338",32.65542813,-103.2647163
1809,Lincoln County,NM,1824,"20,309",33.59209022,-105.6877338
1810,Los Alamos County,NM,1912,"18,159",35.849514,-106.288482
1811,Luna County,NM,1607,"25,041",32.1503695,-107.6357085
1812,McKinley County,NM,744,"73,016",35.48511408,-108.5152788
1813,Mora County,NM,2858,"4,705",36.00725933,-105.037946
1814,Otero County,NM,797,"66,041",32.87612753,-105.7696962
1815,Quay County,NM,2536,"8,769",35.11625563,-103.4922115
1816,Rio Arriba County,NM,1170,"40,318",36.32402014,-106.3514257
1817,Roosevelt County,NM,1820,"20,419",33.9137445,-103.3836621
1818,Sandoval County,NM,460,"135,588",36.73218623,-108.1256409
1819,San Juan County,NM,481,"128,529",35.5814055,-105.2568733
1820,San Miguel County,NM,1454,"28,891",35.66172519,-106.6510151
1821,Santa Fe County,NM,433,"146,375",35.54238675,-105.9812954
1822,Sierra County,NM,2304,"11,895",33.089905,-107.3039924
1823,Socorro County,NM,1942,"17,603",34.20410456,-106.9794541
1824,Taos County,NM,1361,"32,779",36.44707559,-105.6368079
1825,Torrance County,NM,2046,"16,021",34.79016686,-106.1043694
1826,Union County,NM,2873,"4,431",36.410469,-103.334238
1827,Valencia County,NM,715,"76,631",34.7199825,-106.7355805
1747,Churchill County,NV,1631,"24,375",39.154485,-119.73074
1748,Clark County,NV,14,"2,000,759",39.479393,-118.296879
1749,Douglas County,NV,1026,"46,996",36.14274744,-114.8636102
1750,Elko County,NV,966,"51,216",38.978362,-119.7993039
1751,Esmeralda County,NV,3121,775,40.98783871,-115.4327071
1752,Eureka County,NV,3053,"2,001",37.6537825,-117.7006625
1753,Humboldt County,NV,1976,"17,048",39.980795,-116.2875405
1754,Lander County,NV,2766,"5,941",41.34961825,-117.7622925
1755,Lincoln County,NV,2813,"5,405",40.0445455,-117.0857465
1756,Lyon County,NV,964,"51,327",37.710506,-114.943541
1757,Mineral County,NV,2862,"4,653",39.14218829,-119.3704311
1758,Nye County,NV,1113,"42,963",38.60470375,-118.514339
1759,Pershing County,NV,2703,"6,749",37.63242814,-116.6607694
1760,Storey County,NV,2913,"3,935",40.45038,-118.3444845
1761,Washoe County,NV,160,"429,908",39.332488,-119.613509
1762,White Pine County,NV,2440,"10,042",39.78561373,-119.6492773
1763,"Carson City, Consolidated Municipality of",NV,914,"54,838",39.21386,-114.788866
1828,Albany County,NY,212,"305,455",42.59898214,-73.92394283
1829,Allegany County,NY,1005,"48,357",42.24291679,-78.061252
1830,Bronx County,NY,26,"1,408,473",40.819329,-73.920355
1831,Broome County,NY,324,"198,060",42.18533457,-75.85866017
1832,Cattaraugus County,NY,691,"79,458",42.29855436,-78.68037136
1833,Cayuga County,NY,690,"79,552",42.923117,-76.58966106
1834,Chautauqua County,NY,469,"133,539",42.25560539,-79.35435481
1835,Chemung County,NY,643,"88,911",42.14210767,-76.764407
1836,Chenango County,NY,980,"49,933",42.529632,-75.60470855
1837,Clinton County,NY,680,"81,654",44.75338627,-73.67735264
1838,Columbia County,NY,837,"62,499",42.28708397,-73.62777536
1839,Cortland County,NY,992,"49,474",42.60185775,-76.081792
1840,Delaware County,NY,1023,"47,276",42.25308365,-74.86743096
1841,Dutchess County,NY,223,"297,322",41.76872176,-73.75584868
1842,Erie County,NY,54,"919,086",42.76013595,-78.7321674
1843,Essex County,NY,1196,"38,961",44.12661765,-73.5862625
1844,Franklin County,NY,959,"51,795",44.80443547,-74.37175967
1845,Fulton County,NY,913,"54,925",43.134699,-74.35754843
1846,Genesee County,NY,865,"59,977",42.99283059,-78.16914582
1847,Greene County,NY,1003,"48,673",42.30330444,-74.08548203
1848,Hamilton County,NY,2854,"4,778",43.69979625,-74.437755
1849,Herkimer County,NY,816,"64,508",43.18824675,-74.96360225
1850,Jefferson County,NY,508,"120,262",44.029903,-75.94145263
1851,Kings County,NY,8,"2,565,635",40.694481,-73.989319
1852,Lewis County,NY,1522,"27,224",43.702473,-75.45181063
1853,Livingston County,NY,814,"64,810",42.75167959,-77.77642636
1854,Madison County,NY,747,"72,382",42.91542165,-75.6828789
1855,Monroe County,NY,79,"747,813",43.12943527,-77.68299818
1856,Montgomery County,NY,978,"49,941",42.91633967,-74.41814227
1857,Nassau County,NY,28,"1,349,233",40.672316,-73.63139262
1858,New York County,NY,20,"1,619,090",40.750422,-73.996328
1859,Niagara County,NY,292,"215,124",43.22814806,-78.78675425
1860,Oneida County,NY,277,"233,556",43.16049729,-75.39587451
1861,Onondaga County,NY,143,"466,852",43.01312716,-76.18606258
1862,Ontario County,NY,545,"108,519",42.89629405,-77.2850634
1863,Orange County,NY,177,"374,512",41.38860366,-74.29838338
1864,Orleans County,NY,1117,"42,836",43.29117022,-78.21736144
1865,Oswego County,NY,505,"121,700",43.4257025,-76.14749896
1866,Otsego County,NY,842,"61,709",42.62657063,-75.02079269
1867,Putnam County,NY,591,"99,607",41.415569,-73.76103222
1868,Queens County,NY,10,"2,272,771",40.71116024,-73.8227651
1869,Rensselaer County,NY,394,"159,835",42.68691425,-73.51253418
1870,Richmond County,NY,140,"470,728",40.623632,-74.093323
1871,Rockland County,NY,206,"317,757",41.12921308,-74.00900958
1872,St. Lawrence County,NY,535,"112,232",44.54105252,-75.08048036
1873,Saratoga County,NY,284,"222,133",43.06615295,-73.8270629
1874,Schenectady County,NY,407,"155,124",42.81152743,-74.08732043
1875,Schoharie County,NY,1387,"32,099",42.61281493,-74.46719921
1876,Schuyler County,NY,1895,"18,514",42.39932125,-76.86070708
1877,Seneca County,NY,1295,"35,305",42.74223825,-76.81598075
1878,Steuben County,NY,592,"99,063",42.29120079,-77.37560782
1879,Suffolk County,NY,24,"1,499,273",40.78812725,-73.22230207
1880,Sullivan County,NY,714,"76,793",41.7110649,-74.78708453
1881,Tioga County,NY,971,"50,478",42.15523386,-76.33894493
1882,Tompkins County,NY,570,"102,554",42.47356825,-76.44487067
1883,Ulster County,NY,347,"181,791",41.88076327,-74.16730829
1884,Warren County,NY,807,"65,538",43.57763604,-73.80592639
1885,Washington County,NY,827,"62,934",43.34364967,-73.40986338
1886,Wayne County,NY,620,"92,962",43.182305,-77.03052414
1887,Westchester County,NY,46,"961,670",41.14596176,-73.77579754
1888,Wyoming County,NY,1131,"41,892",42.68161495,-78.22968563
1889,Yates County,NY,1597,"25,344",42.62311791,-77.06986027
2043,Adams County,OH,1477,"28,350",38.82140844,-83.517412
2044,Allen County,OH,561,"105,141",40.78801322,-84.064704
