County,State,Rank,Population,latitude,longitude,distance_100000,distance_300000,distance_500000,distance_1000000
Marion County,IL,1199,38894.0,37.217041,-88.72126967,132.807087558,203.40581457,203.40581457,203.40581457
Marshall County,IL,2286,12327.0,40.49037045,-90.64852736,69.728762505,151.121738014,170.503610415,210.073290315
Mason County,IL,2146,14327.0,42.30962847,-88.38890471,34.0643359551,42.1343387832,42.1343387832,50.6376853905
Massac County,IL,2089,15234.0,40.499938,-88.84838809,55.3812328639,88.9566288107,88.9566288107,188.9926295
Menard County,IL,2259,12722.0,40.0157905,-89.822224,28.8637580652,85.255525701,156.963996588,156.963996588
Mercer County,IL,2028,16219.0,41.20110892,-90.66478075,33.7469385912,145.951932659,145.951932659,249.119152546
Monroe County,IL,1344,33357.0,38.28004729,-90.15123814,29.8375901005,39.1775299956,39.1775299956,39.1775299956
Montgomery County,IL,1434,29620.0,39.20450781,-89.48902606,37.335653532,37.335653532,88.1278281844,88.1278281844
Morgan County,IL,1296,35272.0,39.7242526,-90.2366694,52.8502088134,59.2546018467,121.37659717,121.37659717
Moultrie County,IL,2112,14933.0,39.6385758,-88.6816508,69.4757063527,114.711776215,171.925262467,171.925262467
Ogle County,IL,942,52848.0,42.05211638,-89.2398675,33.3187895152,68.1683639917,68.1683639917,111.497897333
Peoria County,IL,339,187254.0,40.76416587,-89.73521087,0.0,90.1603035288,90.1603035288,209.40182939
Perry County,IL,1728,22058.0,38.0584998,-89.3850248,68.4477384273,95.0046712098,95.0046712098,95.0046712098
Piatt County,IL,2011,16504.0,39.9847432,-88.6220436,41.5498242167,137.82564494,148.189348499,202.265167675
Pike County,IL,2024,16308.0,39.62521133,-90.80002267,86.5937377087,86.5937377087,122.194845232,122.194845232
Pope County,IL,2883,4272.0,37.346892,-88.5249995,110.2118664,201.68996282,201.68996282,204.40160398
Pulaski County,IL,2760,5998.0,37.22906278,-89.10388311,158.369528649,182.719329781,182.719329781,182.719329781
Putnam County,IL,2775,5886.0,41.227059,-89.28261357,30.7438992332,30.7438992332,30.7438992332,146.922205585
Randolph County,IL,1355,32956.0,38.06739173,-89.80430873,48.6370690098,71.213178753,71.213178753,71.213178753
Richland County,IL,2033,16176.0,38.70431367,-88.0712395,75.7716331994,171.096581129,184.769244508,184.769244508
Rock Island County,IL,426,147457.0,41.49258456,-90.550834,0.0,137.394337738,137.394337738,229.236929693
St. Clair County,IL,247,268858.0,38.49204575,-89.94128185,0.0,26.8019327409,26.8019327409,26.8019327409
Saline County,IL,1610,24946.0,37.757371,-88.56096171,90.8433114999,172.728294984,172.728294984,172.728294984
Sangamon County,IL,318,199271.0,39.7558096,-89.621457,0.0,61.5042667417,134.208051424,134.208051424
Schuyler County,IL,2644,7457.0,40.15035733,-90.584234,61.5749014448,115.039590002,171.974241788,171.974241788
Scott County,IL,2820,5290.0,39.6121825,-90.42888925,59.5407710558,59.5407710558,110.77855191,110.77855191
Shelby County,IL,1723,22196.0,39.37698791,-88.79048191,81.6195096008,98.1630557053,146.946222086,146.946222086
Stark County,IL,2764,5946.0,41.08100229,-89.77011743,35.3080885032,74.6508398878,74.6508398878,189.454256739
Stephenson County,IL,1027,46959.0,42.3700798,-89.6677502,43.6777284747,82.5868199714,82.5868199714,151.021814527
Tazewell County,IL,458,135949.0,40.51809767,-89.50137273,0.0,99.2267484661,99.2267484661,216.277289749
Union County,IL,1937,17647.0,37.46327614,-89.27303029,128.397947017,152.723819,152.723819,152.723819
Vermilion County,IL,683,80727.0,40.15658665,-87.7535397,35.7074848697,141.970445451,141.970445451,209.66638282
Wabash County,IL,2314,11727.0,38.4217618,-87.825522,53.208446789,192.539341015,192.539341015,207.688527833
Warren County,IL,1933,17731.0,40.86812175,-90.62834463,69.655479801,150.645378294,150.645378294,251.126674571
Washington County,IL,2133,14598.0,38.3401706,-89.3364935,48.8977936005,81.3716484009,81.3716484009,81.3716484009
Wayne County,IL,2005,16574.0,38.40426338,-88.43136163,52.0799806568,155.6296271,155.6296271,155.6296271
White County,IL,2135,14568.0,38.10898945,-88.17098173,54.4720816321,185.915492458,185.915492458,185.915492458
Whiteside County,IL,881,57846.0,41.72210167,-89.91568175,57.9680242577,94.9045978521,94.9045978521,171.580624305
Will County,IL,89,682518.0,41.4747385,-87.97088256,0.0,0.0,0.0,63.2876792076
Williamson County,IL,790,66674.0,37.77253382,-88.98481155,97.5926874314,142.395462694,142.395462694,142.395462694
Winnebago County,IL,225,292069.0,42.34252967,-89.13889883,0.0,74.0683894628,74.0683894628,108.191483494
Woodford County,IL,1195,38971.0,40.7608404,-89.2257279,35.6414423239,64.7574305163,64.7574305163,180.685625352
Adams County,IN,1316,34365.0,40.73161233,-84.94512417,42.4561657506,42.4561657506,115.266563311,194.191004164
Allen County,IN,185,360412.0,41.10515675,-85.05241692,0.0,0.0,156.631268138,195.758157549
Bartholomew County,IN,694,79129.0,39.19021513,-85.82540263,37.9519030565,65.0577705368,65.0577705368,269.554678372
Benton County,IN,2532,8804.0,40.57943125,-87.30632838,43.4603762729,114.058352445,114.058352445,169.656284761
Blackford County,IN,2272,12502.0,40.4942835,-85.311033,33.936819882,71.2616135917,113.407152636,214.980957314
Boone County,IN,876,58944.0,40.02054517,-86.4832555,29.755043129,43.1148373152,43.1148373152,253.827108651
Brown County,IN,2102,15083.0,39.20714033,-86.24133367,27.6094351405,54.5543805279,54.5543805279,302.869907263
Carroll County,IN,1835,20095.0,40.56241513,-86.53921275,33.8721449399,100.197325505,100.197325505,199.603644892
Cass County,IN,1208,38581.0,40.7742133,-86.2982982,64.5464943982,111.167497882,119.814876367,193.887387279
Clark County,IN,537,111951.0,38.49392554,-85.66553138,0.0,28.053014438,28.053014438,293.842274766
Clay County,IN,1535,26837.0,39.44189264,-87.09711182,23.2025438921,81.8742886381,81.8742886381,282.667127576
Clinton County,IN,1353,33022.0,40.31003813,-86.50876725,31.1524346774,72.8257715434,72.8257715434,224.655318977
Crawford County,IN,2382,10665.0,38.295334,-86.45681763,72.1409426435,72.1409426435,72.1409426435,328.127186088
Daviess County,IN,1389,32064.0,38.77645625,-87.07110325,62.4730628814,126.770111593,126.770111593,271.965033058
Dearborn County,IN,982,49831.0,41.39693038,-85.01250525,32.5762294398,32.5762294398,173.000262996,173.000262996
Decatur County,IN,1560,26042.0,39.14223333,-84.96088167,27.7525458212,29.4129870622,29.4129870622,203.607402985
DeKalb County,IN,1124,42321.0,39.31388517,-85.4481505,57.0491912511,73.0815840416,73.0815840416,234.254185788
Delaware County,IN,517,117364.0,40.1944755,-85.38858288,0.0,88.8387057755,88.8387057755,216.039121215
Dubois County,IN,1128,42071.0,38.3420666,-86.883461,71.9230090969,109.760669196,109.760669196,290.458778761
Elkhart County,IN,317,199619.0,41.604144,-85.85474463,0.0,40.1938919005,160.511499111,176.178943908
Fayette County,IN,1642,24029.0,39.63330233,-85.20432567,59.6324129292,59.6324129292,71.8949751018,204.215083201
Floyd County,IN,728,75283.0,38.32572,-85.9144468,26.1269538066,26.1269538066,26.1269538066,322.401665053
Fountain County,IN,1969,17119.0,40.107991,-87.20867413,42.4532041249,97.2924322423,97.2924322423,222.303380754
Franklin County,IN,1691,22969.0,39.41024114,-85.02761757,40.5085787853,40.5085787853,44.0356808129,196.538604661
Fulton County,IN,1794,20737.0,41.0237692,-86.234166,71.8608269262,98.1694214051,147.279320712,178.730660352
Gibson County,IN,1339,33458.0,38.3138658,-87.5360048,36.4132967954,166.506832229,166.506832229,234.461810086
Grant County,IN,766,69330.0,40.4969136,-85.6302326,39.1016004314,83.3060295179,101.317185357,241.403417313
Greene County,IN,1357,32940.0,39.05911871,-86.96151,37.0915069699,96.3947534892,96.3947534892,284.453479102
Hamilton County,IN,227,289495.0,40.08632,-86.067929,0.0,44.6852714698,44.6852714698,265.854888143
Hancock County,IN,753,70933.0,39.84337263,-85.76939688,34.6253335881,40.5537577523,40.5537577523,248.699498577
Harrison County,IN,1194,39134.0,38.20759454,-86.10820815,41.5977581703,41.5977581703,41.5977581703,343.830123758
Hendricks County,IN,421,150434.0,39.75435292,-86.52342742,0.0,28.1500154732,28.1500154732,278.983575286
Henry County,IN,993,49345.0,39.91865313,-85.4105326,30.6833443871,72.1942106718,72.1942106718,217.478601936
Howard County,IN,673,82849.0,40.4485905,-86.128867,40.5590086756,83.6253176437,83.6253176437,230.573680842
Huntington County,IN,1246,36987.0,40.836832,-85.46559367,45.7977927085,45.7977927085,141.20734442,239.203260937
Jackson County,IN,1106,43083.0,38.895933,-86.08242178,38.0274754746,82.3598723044,82.3598723044,302.712790774
Jasper County,IN,1340,33456.0,41.068494,-87.11571867,42.74339658,84.6736502918,84.6736502918,126.041126448
Jay County,IN,1763,21366.0,40.43393317,-85.037502,39.9694953318,74.5496500585,92.2681408562,190.851254989
Jefferson County,IN,1371,32554.0,38.816803,-85.4394346,27.2680195221,66.0147534576,66.0147534576,257.607844496
Jennings County,IN,1486,28161.0,38.97925743,-85.636529,31.2599864861,81.8044597513,81.8044597513,263.853390077
Johnson County,IN,440,143191.0,39.46945038,-86.07930738,0.0,27.4864161759,27.4864161759,281.57950341
Knox County,IN,1215,38122.0,38.73832683,-87.36024225,79.3977505383,146.022840317,146.022840317,246.69149482
Kosciusko County,IN,704,77609.0,41.23317593,-85.88243707,41.2654514699,60.7826296162,172.670993076,190.068230356
LaGrange County,IN,1231,37521.0,41.51311555,-86.72839309,31.5979031664,103.839416508,103.839416508,113.235933284
Lake County,IN,136,493618.0,41.62387863,-85.37322875,0.0,0.0,157.346680453,187.224383073
LaPorte County,IN,541,111246.0,41.45934695,-87.41282995,0.0,46.6501195194,46.6501195194,76.0119961027
Lawrence County,IN,1048,46078.0,38.8488505,-86.54824167,35.8209861743,98.8188662372,98.8188662372,317.719796686
Madison County,IN,479,130348.0,40.1541273,-85.7355552,0.0,64.5649077306,64.5649077306,245.216252076
Marion County,IN,55,918977.0,39.697634,-86.20340825,0.0,0.0,0.0,287.46556606
Marshall County,IN,1025,47024.0,41.33319856,-86.27402044,46.1763443362,81.8708350695,142.756327663,156.07816865
Martin County,IN,2421,10260.0,38.77884867,-86.86719033,51.1783969478,116.998631282,116.998631282,289.680769922
Miami County,IN,1262,36486.0,40.7631471,-86.0572339,72.9241679076,92.7562776539,118.9657588,209.10459239
Monroe County,IN,445,141019.0,39.171434,-86.5575945,0.0,65.8999419928,65.8999419928,320.92156598
Montgomery County,IN,1211,38254.0,40.05583664,-86.92578845,36.771814815,73.4894616052,73.4894616052,235.039967403
Morgan County,IN,765,69356.0,39.50268617,-86.49692217,28.03444023,33.2267594649,33.2267594649,305.578890693
Newton County,IN,2173,14044.0,40.99926656,-87.38584456,47.0737636138,72.0680181558,72.0680181558,123.263592266
Noble County,IN,1018,47582.0,41.38461127,-85.43208073,27.0243594129,27.0243594129,183.450449657,203.475152849
Ohio County,IN,2754,6079.0,38.958134,-84.984085,21.2169108968,39.0986159125,39.0986159125,215.827132709
Orange County,IN,1849,19690.0,38.55186875,-86.52228275,68.8479519109,84.7683206107,84.7683206107,319.841224411
Owen County,IN,1762,21380.0,39.35565925,-86.74251425,25.9425519588,59.9174881456,59.9174881456,309.470975628
Parke County,IN,1974,17069.0,39.72639225,-87.28359175,31.1197643583,92.6818198762,92.6818198762,262.184892183
Perry County,IN,1859,19462.0,38.05482638,-86.63383875,69.4500633562,89.9759130929,89.9759130929,317.582350504
Pike County,IN,2254,12766.0,38.36880917,-87.18752017,54.0324021353,136.499057019,136.499057019,263.720390833
Porter County,IN,379,165682.0,41.45313888,-87.09822813,0.0,72.9428546509,72.9428546509,92.9692279233
Posey County,IN,1581,25599.0,38.10793217,-87.82755517,26.3043304549,192.675389287,192.675389287,214.664515572
Pulaski County,IN,2234,13124.0,41.0440968,-86.6880346,56.971549903,117.664950617,117.664950617,149.612387293
Putnam County,IN,1227,37750.0,39.702308,-86.84525638,28.1894200748,55.0513427829,55.0513427829,274.380176977
Randolph County,IN,1573,25815.0,40.13879856,-85.05525656,29.0599128883,72.4008971684,72.4008971684,187.251054342
Ripley County,IN,1464,28583.0,39.12230682,-85.23624982,46.5757727982,53.32420155,53.32420155,225.755016252
Rush County,IN,1972,17095.0,39.6424825,-85.48524463,54.5509168552,61.9242301428,61.9242301428,227.633685659
St. Joseph County,IN,250,266344.0,38.705128,-85.71886133,0.0,51.8888086285,51.8888086285,284.797801888
Scott County,IN,1655,23791.0,39.56274013,-85.7881975,27.0916504279,38.6653784505,38.6653784505,254.893004012
Shelby County,IN,1076,44471.0,38.04916933,-86.97837213,52.4004277845,119.675873198,119.675873198,288.300863504
Spencer County,IN,1785,20837.0,41.6086282,-86.2810985,35.5440464726,75.6865309002,141.779618579,142.294880757
Starke County,IN,1681,23213.0,41.27792,-86.65014533,42.2400355329,112.62637059,112.62637059,133.835601708
Steuben County,IN,1325,34124.0,41.6374235,-85.02146483,29.3503909729,29.3503909729,159.996248755,159.996248755
Sullivan County,IN,1775,21188.0,39.08988927,-87.42233409,40.6568423239,124.811573967,124.811573967,245.738258417
Switzerland County,IN,2402,10424.0,38.841555,-84.9787804,24.6744512091,47.7015238919,47.7015238919,222.79101497
Tippecanoe County,IN,355,177513.0,40.3834439,-86.8626639,0.0,94.6789309266,94.6789309266,203.414734798
Tipton County,IN,2064,15695.0,40.31598583,-86.06020433,25.5102291922,69.7388287477,69.7388287477,245.708912897
Union County,IN,2649,7362.0,39.607982,-84.927749,36.9725671542,36.9725671542,55.3753531972,181.764598371
Vanderburgh County,IN,349,180858.0,37.98691,-87.5699025,0.0,172.01441615,172.01441615,240.252738254
Vermillion County,IN,2044,16040.0,39.83981225,-87.45084238,43.50218992,108.040266999,108.040266999,247.33083524
Vigo County,IN,546,108428.0,39.453495,-87.3662492,0.0,103.522263337,103.522263337,261.113960108
Wabash County,IN,1381,32361.0,40.8552738,-85.7812484,67.323688573,67.323688573,133.463817246,220.222148608
Warren County,IN,2577,8342.0,40.304125,-87.40616975,47.0108331642,122.813543665,122.813543665,197.234671017
Warrick County,IN,856,60463.0,38.099966,-87.27269114,28.9504875086,144.356040452,144.356040452,261.878508311
Washington County,IN,1498,27921.0,38.550758,-86.13657767,40.2084385927,55.5922371254,55.5922371254,324.802865118
Wayne County,IN,778,68346.0,39.85622508,-85.03658069,48.0981737824,61.2079806755,61.2079806755,186.119806795
Wells County,IN,1506,27652.0,40.72188625,-85.20949575,44.5727055638,44.5727055638,126.284132636,214.406074534
White County,IN,1629,24426.0,40.76366122,-86.835978,42.2819110667,123.775114102,123.775114102,167.203912221
Whitley County,IN,1345,33342.0,41.15462825,-85.49826675,37.8388671727,37.8388671727,172.498281547,221.78024164
Allen County,KS,2223,13319.0,37.86780243,-95.28518229,112.346190576,117.770467862,117.770467862,453.722568632
Anderson County,KS,2605,7917.0,38.21071483,-95.28579767,76.8948642421,82.5514628904,82.5514628904,447.189843218
Atchison County,KS,1994,16813.0,39.50276983,-95.29848617,66.6365728465,79.5481275044,79.5481275044,452.30398914
Barber County,KS,2847,4861.0,37.23692138,-98.62404413,115.754134285,115.754134285,115.754134285,501.061833443
Barton County,KS,1511,27557.0,38.47398986,-98.808558,147.493319504,147.493319504,147.493319504,638.192825656
Bourbon County,KS,2117,14897.0,37.8742535,-94.86141467,88.8044741419,110.96113754,110.96113754,417.190291209
Brown County,KS,2452,9881.0,39.78274171,-95.58623314,88.420456834,118.87898282,118.87898282,483.015215364
Butler County,KS,802,65827.0,37.7844026,-96.90944353,48.5027102396,48.5027102396,48.5027102396,546.562196904
Chase County,KS,2992,2757.0,38.3408818,-96.6308918,101.51442358,101.51442358,101.51442358,562.571948239
Chautauqua County,KS,2940,3571.0,37.0752544,-96.1862716,108.290865459,108.290865459,108.290865459,476.859726948
Cherokee County,KS,1773,21226.0,37.18568933,-94.814239,41.9498077972,156.544018158,156.544018158,436.924681482
Cheyenne County,KS,3000,2678.0,39.715407,-101.721025,175.402012976,175.402012976,175.402012976,859.69797717
Clark County,KS,3038,2181.0,37.28389267,-99.86753567,218.77691773,218.77691773,218.77691773,545.466083489
Clay County,KS,2561,8531.0,39.3065044,-97.133983,121.166670109,181.111383881,181.111383881,606.08874808
Cloud County,KS,2480,9397.0,39.484186,-97.6231995,160.440470663,199.345519854,199.345519854,649.920776344
Coffey County,KS,2563,8502.0,38.2081556,-95.7264204,87.0915721095,105.842337525,105.842337525,485.494325836
Comanche County,KS,3066,1913.0,37.21558433,-99.35941033,177.267245129,177.267245129,177.267245129,519.780431529
Cowley County,KS,1269,36288.0,37.29839833,-96.864114,67.7369090721,67.7369090721,67.7369090721,492.990562556
Crawford County,KS,1188,39361.0,37.49993254,-94.77192062,51.3808769642,152.689827892,152.689827892,420.992940784
Decatur County,KS,2987,2871.0,39.78044175,-100.368006,265.892128663,265.892128663,265.892128663,808.164871137
Dickinson County,KS,1847,19762.0,38.89224425,-97.123144,116.389312792,136.038011678,136.038011678,602.950040854
Doniphan County,KS,2608,7864.0,39.78898943,-95.13151971,83.6324609831,104.313841896,104.313841896,445.459834037
Douglas County,KS,532,112864.0,38.903184,-95.26289875,0.0,35.3431094311,35.3431094311,441.655084607
Edwards County,KS,2981,2979.0,37.922406,-99.34875025,169.315975616,169.315975616,169.315975616,592.735006041
Elk County,KS,2999,2720.0,37.3884564,-96.2885102,107.903625766,107.903625766,107.903625766,509.243387171
Ellis County,KS,1449,29053.0,38.85325986,-99.232592,202.38028162,202.38028162,202.38028162,688.211208889
Ellsworth County,KS,2725,6494.0,38.6785626,-98.2619372,130.53328063,130.53328063,130.53328063,651.522041379
Finney County,KS,1242,37200.0,38.00163133,-100.792822,191.983304782,191.983304782,191.983304782,654.582659719
Ford County,KS,1306,34752.0,37.7025584,-99.840656,211.031515996,211.031515996,211.031515996,586.325791273
Franklin County,KS,1567,25906.0,38.53858725,-95.26926575,40.47773154,51.6673740766,51.6673740766,442.419450234
Geary County,KS,1221,38013.0,39.08935267,-96.831736,90.8848601259,164.003311797,164.003311797,578.383940254
Gove County,KS,2998,2729.0,39.056674,-100.4107118,228.206389102,228.206389102,228.206389102,743.902288203
Graham County,KS,3002,2578.0,39.3566785,-99.89434625,281.106774801,281.106774801,281.106774801,758.7062407
Grant County,KS,2603,7923.0,37.562467,-101.308565,171.27734369,171.27734369,171.27734369,639.068856241
Gray County,KS,2758,6030.0,37.710999,-100.399182,234.968361039,234.968361039,234.968361039,609.373036478
Greeley County,KS,3096,1298.0,38.469704,-101.747853,101.872961381,101.872961381,101.872961381,743.425279025
Greenwood County,KS,2728,6454.0,37.84124614,-96.146192,115.84009464,115.84009464,115.84009464,560.936836704
Hamilton County,KS,3001,2639.0,37.9930645,-101.76885,111.814731304,111.814731304,111.814731304,701.634230115
Harper County,KS,2770,5911.0,37.18649357,-98.01830514,75.6194476864,75.6194476864,75.6194476864,484.564248273
Harvey County,KS,1304,34852.0,38.05080857,-97.41155614,39.7654431228,39.7654431228,39.7654431228,575.500466398
Haskell County,KS,2887,4256.0,37.4616295,-100.9236285,205.807148281,205.807148281,205.807148281,610.190453603
Hodgeman County,KS,3058,1963.0,38.0727145,-99.8016065,211.29778003,211.29778003,211.29778003,622.605504626
Jackson County,KS,2216,13449.0,39.43949056,-95.75055278,48.6936390423,99.5212429257,99.5212429257,489.452813345
Jefferson County,KS,1877,18945.0,39.22568044,-95.39383056,37.5530100479,60.6861160605,60.6861160605,455.772916425
Jewell County,KS,2974,3046.0,39.77454714,-98.15407514,164.69153634,234.742651561,234.742651561,694.190777923
Johnson County,KS,111,559913.0,38.87386589,-94.85727311,0.0,0.0,0.0,406.358884395
Kearny County,KS,2909,3968.0,37.951749,-101.2279895,157.271154507,157.271154507,157.271154507,670.278881695
Kingman County,KS,2609,7863.0,37.52273,-98.159514,65.6503541711,65.6503541711,65.6503541711,523.384332472
Kiowa County,KS,3008,2496.0,37.604411,-99.26175567,160.390249337,160.390249337,160.390249337,556.918226928
Labette County,KS,1769,21284.0,37.15348675,-95.31524488,86.5433313581,128.545078032,128.545078032,501.108677292
Lane County,KS,3074,1704.0,38.5265895,-100.5327185,208.024704975,208.024704975,208.024704975,695.000671211
Leavenworth County,KS,703,77739.0,39.207898,-94.99777486,28.8701984077,39.0270929144,39.0270929144,421.581219398
Lincoln County,KS,2963,3174.0,39.07660375,-98.2260725,167.895132709,167.895132709,167.895132709,694.842120973
Linn County,KS,2477,9441.0,38.22712843,-94.80963843,62.5458801765,71.9123161639,71.9123161639,405.622393551
Logan County,KS,2990,2784.0,38.97130533,-101.0427363,173.214937953,173.214937953,173.214937953,759.170214617
Lyon County,KS,1333,33748.0,38.48712413,-96.1385875,64.7643225215,119.471869759,119.471869759,518.441544735
McPherson County,KS,1438,29356.0,38.37265167,-97.090118,81.6406592324,81.6406592324,81.6406592324,602.241029118
Marion County,KS,2283,12347.0,39.82946027,-96.53991464,101.017309021,165.119423842,165.119423842,563.849340855
Marshall County,KS,2442,10022.0,38.38037667,-97.61516733,77.6244134381,77.6244134381,77.6244134381,612.808122201
Meade County,KS,2874,4396.0,37.25341333,-100.3209567,258.799158135,258.799158135,258.799158135,561.911325408
Miami County,KS,1368,32612.0,38.57927817,-94.81373533,32.9206867142,32.9206867142,32.9206867142,402.55081847
Mitchell County,KS,2735,6355.0,39.40096733,-98.24088333,199.198983238,201.735796287,201.735796287,702.033119447
Montgomery County,KS,1313,34459.0,37.1432522,-95.7828621,114.940667734,114.940667734,114.940667734,491.108246021
Morris County,KS,2777,5854.0,38.7107052,-96.6742974,83.4520896051,131.654871877,131.654871877,564.052384233
Morton County,KS,2964,3169.0,37.092142,-101.766804,180.389236818,180.389236818,180.389236818,624.769570207
Nemaha County,KS,2431,10132.0,39.775468,-95.96177533,87.1854866587,138.164816091,138.164816091,514.176096875
Neosho County,KS,2018,16406.0,37.56042367,-95.31685467,95.6745228961,151.245384693,151.245384693,544.860015443
Ness County,KS,2973,3068.0,38.5317116,-99.9235704,236.20100994,236.20100994,236.20100994,673.797372372
Norton County,KS,2796,5612.0,39.7785125,-99.8772575,292.156844045,301.87498971,301.87498971,780.739377587
Osage County,KS,2035,16142.0,38.67216833,-95.65919944,38.2669638634,73.1977390292,73.1977390292,475.84001962
Osborne County,KS,2920,3806.0,39.4050292,-98.797956,223.471542039,223.471542039,223.471542039,738.979099657
Ottawa County,KS,2755,6072.0,39.11644225,-97.67671825,159.192543731,159.192543731,159.192543731,651.536092329
Pawnee County,KS,2691,6928.0,38.15179875,-99.2836575,169.238187123,169.238187123,169.238187123,615.000846723
Phillips County,KS,2804,5519.0,39.7351745,-99.345414,252.677146833,280.339763382,280.339763382,755.954564562
Pottawatomie County,KS,1719,22302.0,39.36309075,-96.32227917,61.1566049266,137.844741531,137.844741531,537.102484991
Pratt County,KS,2457,9728.0,37.6639304,-98.7967438,119.046667229,119.046667229,119.046667229,550.800724041
Rawlins County,KS,3003,2560.0,39.82618125,-101.0681318,221.857823181,221.857823181,221.857823181,845.070396687
Reno County,KS,817,64438.0,37.96169677,-98.03469923,59.6251772015,59.6251772015,59.6251772015,569.96051739
Republic County,KS,2848,4858.0,39.82312922,-97.57366667,126.599690156,199.278229202,199.278229202,650.747770153
Rice County,KS,2445,9985.0,38.3336275,-98.24660575,99.8337352892,99.8337352892,99.8337352892,613.465031806
Riley County,KS,724,75508.0,39.298448,-96.7503196,89.4722672915,170.432417619,170.432417619,573.047852739
Rooks County,KS,2824,5223.0,39.325479,-99.335225,244.760463364,244.760463364,244.760463364,741.097876658
Rush County,KS,2959,3220.0,38.54160763,-99.31889225,189.155751419,189.155751419,189.155751419,657.164102095
Russell County,KS,2690,6946.0,38.960743,-98.7972655,183.587649482,183.587649482,183.587649482,690.681843964
Saline County,KS,903,55988.0,38.76729317,-97.64769,120.449742564,120.449742564,120.449742564,648.552279264
Scott County,KS,2842,4937.0,38.482307,-100.906427,175.309876042,175.309876042,175.309876042,705.819985779
Sedgwick County,KS,129,503889.0,37.69369172,-97.44773283,0.0,0.0,0.0,535.983410747
Seward County,KS,1661,23547.0,37.12373,-100.787605,234.684466233,237.436709612,237.436709612,572.537735878
Shawnee County,KS,352,178991.0,39.00185063,-95.78791088,0.0,81.9292621789,81.9292621789,487.632963015
Sheridan County,KS,3007,2538.0,39.448069,-100.5041175,237.114504266,237.114504266,237.114504266,787.017343896
Sherman County,KS,2751,6113.0,39.36329967,-101.753472,143.82819197,143.82819197,143.82819197,827.23441252
Smith County,KS,2925,3765.0,39.76311567,-98.7628485,207.602992202,256.608749024,256.608749024,723.954584566
Stafford County,KS,2878,4358.0,38.03683425,-98.78993275,124.091969917,124.091969917,124.091969917,590.67107525
Stanton County,KS,3039,2175.0,37.54964,-101.806292,138.555622251,138.555622251,138.555622251,665.211312338
Stevens County,KS,2787,5756.0,37.2842345,-101.243794,194.960829127,194.960829127,194.960829127,611.007000382
Sumner County,KS,1657,23674.0,37.2687135,-97.50638067,47.4513013726,47.4513013726,47.4513013726,489.084017156
Thomas County,KS,2602,7941.0,39.4048238,-101.0335938,195.226071119,195.226071119,195.226071119,801.636337512
Trego County,KS,2980,2986.0,38.967576,-99.880507,255.410227854,255.410227854,255.410227854,717.62052921
Wabaunsee County,KS,2679,7039.0,38.95146286,-96.19131614,35.4017241724,116.024456692,116.024456692,522.307829702
Wallace County,KS,3082,1517.0,38.9052315,-101.7558215,113.363640894,113.363640894,113.363640894,784.070126367
Washington County,KS,2786,5758.0,39.77024173,-97.08130009,112.319857034,184.235996851,184.235996851,608.189274758
Wichita County,KS,3031,2256.0,38.480788,-101.288491,141.976547158,141.976547158,141.976547158,722.540459463
Wilson County,KS,2510,9105.0,37.573111,-95.73825986,130.800461348,151.481765389,151.481765389,538.802474392
Woodson County,KS,2956,3278.0,37.90297525,-95.70097775,117.436097094,130.56795594,130.56795594,488.734908885
Wyandotte County,KS,396,159129.0,39.08158167,-94.70586433,0.0,26.5307532286,26.5307532286,394.91198194
Adair County,KY,1889,18675.0,37.08427963,-85.33527375,88.5965467734,127.828522737,131.228272032,388.753122078
Allen County,KY,1831,20210.0,36.73099025,-86.14662375,33.6715274721,79.9762301685,79.9762301685,414.490718334
Anderson County,KY,1742,21728.0,38.006484,-84.979923,43.3865687206,43.3865687206,63.1395408734,287.277921648
Ballard County,KY,2579,8333.0,37.07140267,-88.93260233,153.484113827,205.605708703,205.605708703,205.605708703
Barren County,KY,1119,42631.0,36.9372635,-85.91937488,42.4649085007,110.533938157,110.533938157,420.694830838
Bath County,KY,2310,11802.0,38.130183,-83.7497204,65.8253157048,65.8253157048,138.097202143,221.339970797
Bell County,KY,1485,28183.0,36.7173105,-83.702144,74.9300319148,74.9300319148,240.572939666,365.288726562
Boone County,KY,496,123316.0,38.96153414,-84.73933771,0.0,25.1696116778,25.1696116778,198.160765448
Bourbon County,KY,1841,19978.0,38.21999333,-84.15746667,36.5994803581,36.5994803581,112.855386253,227.080652381
Boyd County,KY,997,49164.0,38.36373233,-82.68713767,104.244711637,162.230446805,182.497395895,182.497395895
Boyle County,KY,1461,28658.0,37.6059286,-84.9093046,58.8859318371,58.8859318371,95.1991049615,319.641885205
Bracken County,KY,2564,8494.0,38.690613,-84.061536,37.8085281677,72.016505434,72.016505434,178.262454143
Breathitt County,KY,2205,13635.0,37.51195267,-83.31158722,117.673166193,117.673166193,216.715770398,279.05713745
Breckinridge County,KY,1837,20071.0,37.7632681,-86.3840757,34.8695731644,84.5790480094,84.5790480094,347.199071558
Bullitt County,KY,721,75896.0,37.9791102,-85.6769966,29.4466307589,29.4466307589,29.4466307589,331.118015812
Butler County,KY,2250,12840.0,37.22332,-86.70875822,40.4386227068,112.603561872,112.603561872,343.812874228
Caldwell County,KY,2247,12935.0,37.1708895,-87.926819,93.9463455508,149.015627034,149.015627034,256.857111511
